Arm Bin.Num Position.Start  Position.End
1 1 0 388930
1 2 388930  777860
1 3 777860 1166790
1 4 1166790 1555720
1 5 1555720 1944650
1 6 1944650 2333580
1 7 2333580 2722510
1 8 2722510 3111440
1 9 3111440 3500370
1 10  3500370  3889300
2 1 3889300 5558400
2 2 5558400 7227500
2 3 7227500 8896600
2 4 8896600 10565700
2 5 10565700  12234800
2 6 12234800  13903900
2 7 13903900  15573000
2 8 15573000  17242100
2 9 17242100  18911200
2 10  18911200 20580295
